id,name,filename,kind,status,omr_status,source_type,size_bytes,git_blob_sha,download_url,source_page,kits,targets,notes
7326,Rise of the Sphinx,7326-1 - Rise of the Sphinx.mpd,mpd,YELLOW,Unofficial_Model header verified,github_ldraw_mirror,38156,a82a52d2ad8aef32728c420f85fd96ae74fb9375,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/7326-1%20-%20Rise%20of%20the%20Sphinx.mpd,,K02_ROCK;K05_STONE_ARCH;K11_RITUAL,PUNISHMENT LANDSCAPE;TROY INTERIOR MEMORY SET,"Real LDraw geometry, but header marks it Unofficial_Model."
6716,Covered Wagon,6716-1 - Covered Wagon.mpd,mpd,GREEN,LDraw Model; header verified,github_ldraw_mirror,5259,18f152485a0a77a986a0d5d9fba57bdae5414621,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/6716-1%20-%20Covered%20Wagon.mpd,,K15_ROAD;K04_TIMBER,PYLOS-TO-SPARTA ROAD;ROAD TO LAERTES'S FARM,Wheel/axle/wagon body donor.
6799,Showdown Canyon Carriage,6799-1 - Showdown Canyon - Carriage.mpd,mpd,GREEN,LDraw Model; header verified,github_ldraw_mirror,12836,f42cf23b88355098f41ede6693fab3578aa50a4c,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/models/6799-1%20-%20Showdown%20Canyon%20-%20Carriage.mpd,,K15_ROAD;K04_TIMBER,PYLOS-TO-SPARTA ROAD;MATCHED HORSE TEAM,Carriage/harness/wheel grammar donor.
6257,Castaway's Raft,6257 - Castaway's Raft.mpd,mpd,GREEN,OMR compliant; missing items: none,ldraw_forum_attachment,6441,,https://forums.ldraw.org/attachment.php?aid=7607,https://forums.ldraw.org/thread-11982.html,K13_SHIP;K03_WATER,OGYGIA SHORE;PYLOS HARBOR;RAFT / WRECK,Small raft.
6260,Shipwreck Island,6260 - Shipwreck Island.mpd,mpd,GREEN,OMR compliant; missing items: none,ldraw_forum_attachment,8827,,https://forums.ldraw.org/attachment.php?aid=7613,https://forums.ldraw.org/thread-11982.html,K02_ROCK;K03_WATER;K13_SHIP,OGYGIA SHORE;SCHERIAN COAST AND RIVER MOUTH;SIRENS' ISLAND,Small shore/wreck/island donor.
6265,Sabre Island,6265 - Sabre Island.mpd,mpd,GREEN,OMR compliant; missing items: none,ldraw_forum_attachment,10455,,https://forums.ldraw.org/attachment.php?aid=7617,https://forums.ldraw.org/thread-11982.html,K08_PORT;K12_FORTIFICATION;K02_ROCK,AEOLIA FLOATING ISLAND;SCHERIA CITY AND HARBOR,Small island architecture.
6270,Forbidden Island,6270 - Forbidden Island.mpd,mpd,YELLOW,not OMR compliant at posting; unofficial part not inlined; missing items none,ldraw_forum_attachment,16077,,https://forums.ldraw.org/attachment.php?aid=7621,https://forums.ldraw.org/thread-11982.html,K02_ROCK;K07_VEGETATION;K03_WATER,OGYGIA CAVERN AND GROVE;AEAEA COAST AND FOREST,Real MPD; requires normalization.
6276,Eldorado Fortress,6276 - Eldorado Fortress.mpd,mpd,GREEN,OMR compliant after parts update; flexible rope missing,ldraw_forum_attachment,41574,,https://forums.ldraw.org/attachment.php?aid=7641,https://forums.ldraw.org/thread-11982.html,K12_FORTIFICATION;K08_PORT;K05_STONE_ARCH,AEOLIA FLOATING ISLAND;SCHERIA CITY AND HARBOR;TELEPYLUS HARBOR;ITHACAN ASSEMBLY GROUND,Fortress/dock/stair/wall donor.
6273,Rock Island Refuge,6273 - Rock Island Refuge.mpd,mpd,GREEN,OMR compliant after 2022-04 parts update; flexible rope noted; sail later added,ldraw_forum_attachment,30771,,https://forums.ldraw.org/attachment.php?aid=8029,https://forums.ldraw.org/thread-11982.html,K02_ROCK;K14_CAVE;K08_PORT,POLYPHEMUS'S CAVE;OGYGIA CAVERN AND GROVE;TELEPYLUS HARBOR;NARROW MONSTER STRAIT;CIMMERIAN SHORE AND UNDERWORLD PIT,Critical rock-mass / aperture donor.
6247,Bounty Boat,6247 - Bounty Boat.mpd,mpd,GREEN,OMR compliant; missing items none,ldraw_forum_attachment,5079,,https://forums.ldraw.org/attachment.php?aid=8303,https://forums.ldraw.org/thread-11982.html,K13_SHIP,SECRET ITHACAN LANDING;PYLOS HARBOR,Small boat donor.
6258,Smuggler's Shanty,6258 - Smuggler's Shanty.mpd,mpd,GREEN,OMR compliant; missing items none,ldraw_forum_attachment,7342,,https://forums.ldraw.org/attachment.php?aid=8305,https://forums.ldraw.org/thread-11982.html,K04_TIMBER;K08_PORT;K09_INTERIOR,EUMAEUS HUT INTERIOR;SECRET ITHACAN LANDING;CIRCE'S FOREST PALACE,Tiny rough shelter/shanty donor.
6261,Raft Raiders,6261 - Raft Raiders.mpd,mpd,GREEN,OMR compliant; flexible rope missing,ldraw_forum_attachment,7168,,https://forums.ldraw.org/attachment.php?aid=8332,https://forums.ldraw.org/thread-11982.html,K13_SHIP;K04_TIMBER,RAFT / WRECK;OGYGIA SHORE,Raft donor.
6271,Imperial Flagship,6271 - Imperial Flagship.mpd,mpd,YELLOW,not OMR compliant at posting; sail placeholders / missing sail geometry,ldraw_forum_attachment,28518,,https://forums.ldraw.org/attachment.php?aid=8519,https://forums.ldraw.org/thread-11982.html,K13_SHIP;K08_PORT,BLACK ITHACAN SHIP;SCHERIA CITY AND HARBOR,Ship geometry useful; sail caveats.
6277,Imperial Trading Post,6277 - Imperial Trading Post.mpd,mpd,YELLOW,not OMR compliant at posting; sails/print/flexible ropes missing,ldraw_forum_attachment,53555,,https://forums.ldraw.org/attachment.php?aid=8815,https://forums.ldraw.org/thread-11982.html,K08_PORT;K12_FORTIFICATION;K13_SHIP;K05_STONE_ARCH,SCHERIA CITY AND HARBOR;PYLOS HARBOR;TELEPYLUS HARBOR,Excellent port/market/dock geometry despite missing flexible/sail details.
21020,Trevi Fountain,21020 - Trevi Fountain.mpd,mpd,GREEN,OMR compliant; errors none,ldraw_forum_attachment,35758,,https://forums.ldraw.org/attachment.php?aid=2059,https://forums.ldraw.org/thread-2020-post-11229.html,K05_STONE_ARCH;K06_COLUMN;K03_WATER,AEOLIA FLOATING ISLAND;ALCINOUS'S PALACE;OLYMPIAN COUNCIL HALL;NESTOR'S PALACE AND COURTYARD,Classical facade/column/water donor.
21343,Viking Village,21343_-_viking_village.mpd,mpd,GREEN,OMR compliant; known errors none,brickshelf_from_ldraw_forum,,,https://brickshelf.com/gallery/Philo/SetModels/Set21343/21343_-_viking_village.mpd,https://forums.ldraw.org/printthread.php?tid=27989,K02_ROCK;K04_TIMBER;K09_INTERIOR;K12_FORTIFICATION,EUMAEUS HUT INTERIOR;CIRCE'S FOREST PALACE;ODYSSEUS'S PALACE THRESHOLD AND HALL;OGYGIA CAVERN AND GROVE,High-value rock/timber/domestic/bridge donor.
7637,Farm,7637 - Farm.mpd,mpd,GREEN,OMR compliant; known issues: stickers/minifig patterns/string/ladder details,ldraw_forum_manual,38205,,,https://forums.ldraw.org/thread-22649-page-3.html,K10_FARM;K17_LIFE;K04_TIMBER,EUMAEUS'S PIG FARM;THRINACIA;POLYPHEMUS'S CAVE;PIG HERD;SACRED CATTLE;MATCHED HORSE TEAM,Verified real MPD in LDraw forum. Manual acquisition in this manifest because direct attachment URL was not exposed reliably.
27256,Minifig Lightning Bolt with Rim,27256.dat,dat,GREEN,official LDraw part,github_ldraw_parts,,f9457733666170420ea0f60a9f8feb6020b18096,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/complete/ldraw/parts/27256.dat,,K18_SIGNATURE,ZEUS'S THUNDERBOLT,Exact readymade.
3847,Minifig Sword Shortsword,3847.dat,dat,GREEN,official LDraw part,github_ldraw_parts,,bf012508f4a27c7da9942e90b8ee161f66337af9,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/complete/ldraw/parts/3847.dat,,K18_SIGNATURE,BRONZE SWORD WITH IVORY HILT,Exact readymade base.
10169,Minifig Sack with Hand Grab,10169.dat,dat,GREEN,official LDraw part,github_ldraw_parts,,2fc65e2dfb019a7edbf00d63c641ab2bf24881fc,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/complete/ldraw/parts/10169.dat,,K09_INTERIOR,BAG OF WINDS,Exact readymade candidate.
10509,Animal Horse Poseable,10509.dat,dat,GREEN,official LDraw shortcut,github_ldraw_parts,,644809212db509160182095fabbcc8e32fc8eee4,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/complete/ldraw/parts/10509.dat,,K17_LIFE,MATCHED HORSE TEAM,Real horse geometry.
87621,Animal Pig,87621.dat,dat,GREEN,official LDraw part,github_ldraw_parts,,f874a44b50b6ba8cd145d0159fcc4c922d6dced4,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/complete/ldraw/parts/87621.dat,,K17_LIFE;K10_FARM,PIG HERD;PARNASSUS BOAR,Pig readymade; boar can modify this base.
64452,Animal Cow,64452.dat,dat,GREEN,official LDraw shortcut,github_ldraw_parts,,5e3c374f7f8b7e579f9da15d354d20a53ffa3977,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/complete/ldraw/parts/64452.dat,,K17_LIFE;K10_FARM,SACRED CATTLE;HELIOS'S CATTLE AND SHEEP,Cow readymade.
4429,Figure Flask with Handle,4429.dat,dat,YELLOW,official LDraw part; description marks Needs Work,github_ldraw_parts,,03a16dcd86770e964f1075cd5e19c2d10bf74de5,https://raw.githubusercontent.com/gkjohnson/ldraw-parts-library/master/complete/ldraw/parts/4429.dat,,K09_INTERIOR,WATER PITCHER,"Real part, but LDraw header says Needs Work."
